,ACCOUNTANT,ADVOCATE,AGRICULTURE,APPAREL,ARTS,AUTOMOBILE,AVIATION,BANKING,BPO,BUSINESS-DEVELOPMENT,CHEF,CONSTRUCTION,CONSULTANT,DESIGNER,DIGITAL-MEDIA,ENGINEERING,FINANCE,FITNESS,HEALTHCARE,HR,INFORMATION-TECHNOLOGY,PUBLIC-RELATIONS,SALES,TEACHER
ACCOUNTANT,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADVOCATE,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
AGRICULTURE,0,1,5,0,1,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
APPAREL,0,0,0,7,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,1,3,0
ARTS,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,9
AUTOMOBILE,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AVIATION,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
BANKING,1,0,0,0,0,0,0,16,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
BPO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
BUSINESS-DEVELOPMENT,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CHEF,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,1,2
CONSTRUCTION,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
CONSULTANT,3,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,1,2,1,0
DESIGNER,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
DIGITAL-MEDIA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,2,2,0,0
ENGINEERING,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,2,0,0,1
FINANCE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0
FITNESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,1
HEALTHCARE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,17,0,1,0,0,1
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
INFORMATION-TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
PUBLIC-RELATIONS,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,17,1,0
SALES,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,19,0
TEACHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
