feature,importance
construction,0.011621965626513634
designer,0.010718162288066824
aviation,0.010373358881525248
fitness,0.00983951993801662
advocate,0.009751532487336522
engineering,0.009457076935639179
business development,0.008710856015245265
healthcare,0.00843694662495897
finance,0.008398990730154586
consultant,0.007428527157283367
information technology,0.007081766585336086
chef,0.006948714805683027
aircraft,0.006912798756055898
hr,0.006619453771195078
experience sales,0.006189942866907345
teacher,0.006050331113348087
accountant,0.005911642217309851
media,0.005787700639173912
designer summary,0.005674535403708511
sales,0.005673002164076084
banking,0.005100841653520646
public relations,0.005025560580727503
accounting,0.004552627468272055
apparel,0.0042240512241234355
financial,0.004207497331096974
public,0.003978784714353599
technology,0.003942917564154827
experience engineering,0.0038981034769491243
digital,0.003786066046138321
arts,0.003659492154830799
design,0.0035102779247713806
relations,0.003449846436170771
experience consultant,0.0034277668429682022
business,0.003420191603546634
designer company,0.0033578241328065324
sales associate,0.0032616054448476022
information,0.0029706663173960915
employee,0.0029654489708042363
kitchen,0.0029154533127653814
exercise,0.002879774833779078
teacher summary,0.0028395123816846012
development,0.0027967071419645207
food,0.002746774545866006
accountant summary,0.002696331331454213
bank,0.002521442948778355
culinary,0.0024988995694462256
marketing,0.0024697902081021804
experience business,0.0023818544089554933
press,0.0023666718721395944
project,0.0023649273136421996
press releases,0.0023257570540614835
experience hr,0.0023226920539883007
merchandising,0.002241301939546101
finance manager,0.0020515158480677
cooking,0.0020514805710886196
systems,0.002049964924610448
education,0.0020329101424021857
classroom,0.002001086081301468
flight,0.0019474502261631766
learning,0.0019346171373121833
human resources,0.0019289849031332797
care,0.001907486119985028
customers,0.001894282148643717
engineer,0.001876112379685781
medical,0.0018597251236143696
customer,0.0018529687558232351
reconciliations,0.0018064311496771206
company city,0.001790717400891123
maintenance,0.001762065851668376
company,0.0017601384997702882
development manager,0.001753598734807804
general ledger,0.001719636327892977
projects,0.0017159167110742544
agriculture,0.0016941064457892485
human,0.0016877775650093539
students,0.001679640561187508
service,0.0016757934069623098
teacher company,0.0016726924965700355
entries,0.0016717238854150845
new,0.0016623840514747093
state,0.0016359093031121689
fitness instructor,0.0016339614660195426
management,0.0016183093025991739
city state,0.0016115643925274483
construction projects,0.0016055504458518414
skills,0.0016021683852852529
manager,0.0015999873865598492
releases,0.0015996083975813253
digital media,0.001582092359143678
menu,0.0015819267846787382
construction project,0.0015659018549031636
city,0.001544617135672961
accounts,0.001538280022956996
monthly,0.0015251044658762616
social,0.001506585101120186
ledger,0.0014957622596310212
health,0.0014762301760159662
construction manager,0.0014689396375650572
patient,0.0014518483033867677
training,0.0014483114405663695
culinary arts,0.0014331626346944328
team,0.0014303892073285614
personal training,0.0014200707725131314
employee relations,0.0014159045134913089
experience,0.0014017047842536253
experience information,0.001400301145834419
summary,0.0013954417944862015
support,0.0013941266023531642
network,0.001392991924698891
compensation,0.0013897006604124884
work,0.001381910033520593
university,0.001377196271307445
high,0.001375427461064339
associate,0.0013741417219792248
services,0.0013694888120145353
cuisine,0.0013673927034427602
client,0.0013458631050895986
process,0.0013447882079455748
sous,0.001328761849736981
teaching,0.0013272179674072382
social media,0.0013256253706329278
events,0.0013216862836616103
executive chef,0.001304915381105621
benefits,0.0012831931676378146
parents,0.001281630828452309
current,0.0012759718852012234
sous chef,0.0012622169289573288
professional,0.0012602785909026496
school,0.0012540302720681624
lesson plans,0.0012283876235258536
construction management,0.0012199880325232545
including,0.0012172730986891867
office,0.0012081388855740558
financial statements,0.00120428796813663
statements,0.0012031622195363071
customer service,0.0011981199208547801
personal trainer,0.0011792929472768997
safety,0.0011724365389010694
clients,0.001166866322575611
data,0.001153127101450465
engineering manager,0.0011454590518260228
quality,0.0011432108068092181
product,0.001129170246263731
menus,0.0011251970738928438
time,0.001123244403176917
accounts payable,0.0011218909521597611
developed,0.0011205643027654571
resources,0.0011157963327837778
lesson,0.001109934849449889
reporting,0.0011085851556324638
technical,0.0011081262553567799
drawings,0.0011018860332627745
navy,0.001092899723147795
restaurant,0.001086640108812726
site,0.001078721371112988
staff,0.001074034305943839
program,0.0010626450405193215
recipes,0.0010614745537485134
student,0.0010601620646311118
software,0.0010487419124146768
members,0.001045700400937092
recruitment,0.0010394512747364593
mechanical,0.001026828272346786
analysis,0.0010257828120093532
needs,0.001021966154650911
store,0.0010173107585355347
employees,0.001013864833566448
managed,0.0010085484916249959
science,0.0009985185992999245
provided,0.000996116192815652
journal,0.0009960492707651056
market,0.0009943687923878687
communications,0.0009939422635949734
server,0.00099089089988164
teachers,0.0009855238205662136
community,0.0009707100725917709
cook,0.0009684001726703581
maintained,0.0009669672618017883
journal entries,0.0009572302344426725
communication,0.0009483428317815136
years,0.0009435646235512888
loan,0.0009432878920083112
infrastructure,0.0009402444810633729
merchandise,0.0009395395989101772
hardware,0.0009392753142773441
products,0.0009345886411669565
inventory,0.0009305577470789847
microsoft,0.0009301144428203086
general,0.0009267417443037986
bachelor,0.0009225928299737783
reports,0.0009199682364050671
department,0.0009176704781640874
equipment,0.0009169652269320523
issues,0.0009141056860797658
consultant summary,0.0009132720926349811
created,0.0009126221512307742
security,0.0009123321292628139
loans,0.0009062043649730032
account,0.0009039184494996017
operations,0.0009022054697182257
credit,0.0008967696696014098
manufacturing,0.0008966706199475086
responsible,0.0008863858020608159
activities,0.000885547409572816
working,0.0008797304834137324
knowledge,0.0008774676250263973
college,0.0008745724029422207
building,0.0008744945878023893
environment,0.000874178558417729
graphic designer,0.0008719800713377476
research,0.0008706130731990616
cash,0.0008687168504149552
highlights,0.0008642227394491432
daily,0.0008627180945182569
creative,0.0008578638805948758
lessons,0.0008572018832693118
high school,0.0008568118478655228
grade,0.0008503351037568945
user,0.0008478937382130828
ensure,0.0008471682350099953
payable,0.0008463844013288454
electrical,0.0008459129993410275
using,0.0008439355937984593
personal,0.0008429292804825328
materials,0.0008400221054420902
strong,0.0008382213167998778
performance,0.0008354786338550641
month end,0.0008353593947830645
reconciliation,0.0008297253735992605
patients,0.0008284394488613177
goals,0.000825957545120335
planning,0.0008243899458898018
relationships,0.0008209452107678234
job site,0.0008151841736807395
payroll,0.0008125600445764119
excel,0.0008089703763777184
graphic,0.0008070693004751812
repair,0.0008066564196468698
performance management,0.0008021633342968796
leadership,0.0008019380240966407
gym,0.000801257850423378
year,0.0007928717692453536
assistant,0.0007903249772221036
autocad,0.0007851357451774508
member,0.0007839903072607901
catering,0.0007839613197313308
solutions,0.0007829515999289949
accomplishments,0.0007824592320649246
curriculum,0.0007814772831030209
designs,0.0007807963716999559
hardware software,0.000780742748327832
excellent,0.0007793313581893958
programs,0.0007771288420893978
children,0.0007733413558810219
computer,0.0007685450182445187
end,0.0007661029816397231
control,0.0007658406817909286
procedures,0.0007620875817163335
strategy,0.0007579084794077194
current company,0.0007571322624608356
worked,0.0007551709861758759
provide,0.0007534070146675747
territory,0.0007524100912663422
assisted,0.0007430098335431196
contractors,0.0007429236138836126
technology specialist,0.0007399904876121012
kitchen staff,0.0007376478400502125
group,0.0007345812101049869
microsoft office,0.0007345439017107266
develop,0.0007340858015811067
use,0.0007337972816573306
key,0.0007326594829826717
based,0.000729122034844157
various,0.0007290950115232928
fashion,0.0007228609127511926
ability,0.0007218265557191285
job,0.0007164331436515805
content,0.0007160489467497881
plans,0.0007130108163243418
maintain,0.000712013125776013
lead,0.0007106928646805742
production,0.0007094828631640405
growth,0.0007027720046019756
active directory,0.0007016918330871289
opportunities,0.000700324266592931
multiple,0.000699867813111546
level,0.0006995257210533166
calls,0.0006951902999273093
windows,0.0006947901823767065
campaigns,0.0006914112219000805
administration,0.0006872843671013781
tax,0.0006867147580446467
records,0.0006866099990078743
application,0.0006850225774409142
policies,0.0006756895375374678
assist,0.0006747138283933438
strategies,0.000673279540439095
senior,0.0006710968440947231
organized,0.0006705731929346303
annual,0.0006705273017763174
processes,0.0006704228017024392
analytics,0.0006687301609679078
accountant company,0.000667828401290315
strategic,0.0006639344864206821
budget,0.0006638334831143856
implemented,0.0006612801707330236
requirements,0.0006587902081685074
problem,0.0006587356584291638
school diploma,0.00065735863686367
concrete,0.0006488001141338292
new business,0.0006475867590087658
create,0.0006449849219944405
inspections,0.0006449006022384078
appropriate,0.0006417483468453726
performed,0.0006408338525134263
engineers,0.0006377109013226586
oriented,0.0006375869800963917
orientation,0.0006356471662158657
dining,0.0006350749110139778
coordinated,0.0006320520203349784
group fitness,0.000630863067524033
subcontractors,0.000626377852983767
revenue,0.000625875744955449
national,0.0006210546865247854
meetings,0.0006193852545072165
clinical,0.0006174644684779876
cost,0.0006172603245721737
implementation,0.0006129915103379784
director,0.0006127040998745675
applications,0.0006118574300549726
instructor,0.0006112791072277199
position,0.000609401649144165
executive,0.0006084698106711389
sanitation,0.0006074024544956557
prepared,0.0006050824733789152
internal,0.0006038625635672893
residential,0.0006018463457257688
arts teacher,0.0005999888078861897
adobe,0.0005983013654864095
portfolio,0.0005944979755711247
specialist,0.0005921102976833515
review,0.0005902456604895915
recruiting,0.0005893443457829628
organization,0.0005877811685971738
standards,0.0005863752499809291
university city,0.000585121688218812
test,0.0005843509169524031
managing,0.0005806514562716354
pr,0.0005792036965995892
digital marketing,0.0005781080920879801
center,0.0005780835328911928
relationship,0.000577050429244774
compliance,0.0005724226924387681
effectively,0.0005681066094031642
google,0.000564605648956589
diploma,0.0005641922221517152
associate company,0.000562086856060584
new hire,0.0005618443019548162
education training,0.0005613476102897491
online,0.0005600460789120026
photoshop,0.0005592305529199759
managers,0.0005574913674127502
master,0.0005563469331120972
chef company,0.0005551556621277109
trained,0.0005527760644614824
positive,0.0005525899871472298
database,0.0005513008750355157
communication skills,0.0005506497570620871
field,0.0005490592486301701
differentiated,0.000548230746409999
organizational,0.0005439949357323359
manage,0.0005423516080016772
hire,0.0005407322717104809
related,0.0005398186026867504
reconciled,0.0005378998952553493
plan,0.0005368177005603242
meet,0.0005341219026991557
google analytics,0.0005330230409305284
generalist,0.0005319168800064367
industry,0.0005315289758925148
timely,0.0005308833414945645
wellness,0.0005301326332934632
weekly,0.000530049762016962
orders,0.0005268983095397848
human resource,0.0005264626572775669
powerpoint,0.0005264555676108865
word,0.00052611621847752
duties,0.0005236671079982533
problems,0.0005226471281808519
club,0.0005213402075023011
existing,0.0005211426854208322
personnel,0.0005195441280400106
certified,0.0005192561252021813
special,0.0005183967609538984
results,0.0005144178957646018
regarding,0.0005126025941209291
multi,0.0005125395821731755
documentation,0.0005108778109167379
needed,0.0005087719039302766
director business,0.0005076948933607832
project management,0.0005055576766628885
areas,0.000505543232544213
teams,0.0005041338665587591
maintaining,0.000503924591693864
contractor,0.0005033020775094583
proficient,0.0005018557435481421
making,0.000499545356237762
completed,0.0004992669040868693
track,0.0004990387795552935
additional,0.0004984366842225694
hris,0.0004981072184420164
best,0.0004978986606371971
order,0.0004972655062245722
corporate,0.0004966829208786891
bachelor science,0.0004964917021358632
budgets,0.0004918497031736403
event,0.0004916760606010566
mortgage,0.0004901744024480525
operating,0.0004887034204353653
conducted,0.0004886490495839989
case,0.0004879988099822311
accurate,0.0004831706503300198
components,0.0004827278920009274
ms,0.0004815589355901912
month,0.000481509158310408
contracts,0.00048106538731546033
providing,0.00047919622531306306
questions,0.0004791610407818389
january,0.00047823052030681327
increase,0.00047636919675820693
local,0.00047606999991246655
illustrator,0.0004746732796766021
developing,0.00047377016346727784
set,0.00047313149273716103
servers,0.0004687112949924873
highly,0.0004655732794497361
brand,0.00046403837505172086
billing,0.00046373126810463885
receivable,0.0004632706490500537
effective,0.00046299782079626357
focused,0.0004611824542827368
art,0.0004586111444243642
automobile,0.0004584319649414394
items,0.0004572442037423732
change,0.00045615694531307965
college city,0.00045563294366275523
record,0.00045403737716597463
nutrition,0.00045363229661140377
operation,0.00045308138433887093
received,0.0004527057376348534
core,0.0004523544108675095
directory,0.00045205204744930917
accounts receivable,0.0004516898217140677
delivery,0.0004515695225246736
schedule,0.00045116599814580256
help desk,0.0004503475071736055
access,0.00045027978381352964
improve,0.00044785187823843616
august,0.00044784158249227277
child,0.0004473349358254398
documents,0.00044542796468033873
instruction,0.00044512573247557725
sql,0.00044453556991901966
administrative,0.00044452697012413607
insurance,0.0004443480774135303
help,0.00044430372070362244
successfully,0.00044314384183320363
supervised,0.00044298685326255895
tasks,0.0004429647816883868
area,0.0004426811952765729
objectives,0.00044211171928225287
military,0.00043970210052722206
naval,0.00043753657878401353
facility,0.00043670068524762453
phone,0.0004359385204127717
proper,0.0004353883586429058
established,0.00043531541809161404
employment,0.00043403724913924755
disaster,0.00043217668739023245
assistance,0.00043194980312250675
used,0.0004315134783874952
material,0.0004315028090343015
inquiries,0.0004314745461893972
behavior,0.0004312799517826217
professional summary,0.0004308840272681907
representative,0.00043071198644490077
candidates,0.0004292274084878356
solving,0.00042868132515653596
professional experience,0.0004286752006685811
self,0.00042664398734678765
preparation,0.00042664028093360585
monitored,0.00042589138157744734
coordinator,0.000424257272972838
web,0.0004231928823828758
director finance,0.0004227458747640429
player,0.00042263107671111134
year end,0.0004208978419729914
manager company,0.00041911557371210106
led,0.00041882214799449834
problem solving,0.0004186031040103161
identify,0.00041734019716749195
contract,0.0004167692010904252
investment,0.00041629837794403767
risk,0.00041431801618689145
processing,0.00041294986836987413
consistently,0.00041203763712366
classes,0.000411376481553104
tools,0.00041037608094871887
functions,0.0004086692469819958
government,0.0004086098901766668
gpa,0.0004072505455009152
implement,0.0004072352815049247
practices,0.00040654928196484625
testing,0.0004062319962205107
educational,0.0004059662284789907
potential,0.00040591827120311385
commercial,0.0004058548803413714
day,0.0004049197781832639
levels,0.00040488766953392894
association,0.0004042329345269
fmla,0.000400349642434852
necessary,0.00039937387726359804
accuracy,0.00039892491497063023
bank reconciliations,0.0003989011717822908
english,0.0003984010066592669
tracking,0.0003960109750609328
designed,0.0003956852903388772
additional information,0.0003941896043429561
successful,0.00039390450481668535
stores,0.0003936261553268023
consumer,0.00039254669088858513
motivated,0.00039251027637413093
satisfaction,0.0003913313126299081
team player,0.0003912734663190135
fixed assets,0.0003912151457673057
expertise,0.0003907297267511824
information systems,0.0003904544260526577
balance,0.00039032439911533377
advertising,0.00038929060815531
served,0.00038860994314772023
current sales,0.00038793356541224044
hospital,0.000387707436442876
vendors,0.0003873693137038053
media relations,0.00038718316286232317
requests,0.00038665879934890256
senior accountant,0.0003856127881433313
monitoring,0.0003847174054556869
operational,0.00038369051353795436
history,0.0003834310717709936
trainer,0.00038213339102558864
policy,0.0003820271923658019
new employee,0.00038164055014928484
responsibilities,0.0003807915352617197
follow,0.00038053102791939345
staff accountant,0.0003794802389263218
june,0.0003792257942138271
leader,0.00037801010066358106
background,0.0003776403057622703
retail,0.0003774721058867779
lending,0.00037737134861086033
presentations,0.0003770105929937726
million,0.00037658207741869557
techniques,0.0003758770246512173
newsletter,0.00037371082003497994
designing,0.0003736358715644168
manner,0.0003732528990194204
weight,0.00037244239010016957
specifications,0.000372252517929003
directed,0.0003722206725926833
instructional,0.0003705735272291392
success,0.00037013079583335455
users,0.0003695800528911648
partners,0.0003682818771887244
time management,0.0003674675185895037
treatment,0.00036696187644016156
writing,0.0003669145453144761
contact,0.0003659294156106417
required,0.0003656464073292222
years experience,0.00036518116803318314
person,0.0003641765480977464
individual,0.00036391192750181056
prepare,0.0003636671348095544
departments,0.00036348368052384713
leave,0.00036283185069487005
taught,0.0003618705204345055
stock,0.00036139233548404743
achieve,0.00036135433137571635
people,0.0003612988419564395
report,0.0003609865457753349
state managed,0.00036049133989849596
critical,0.00036039665855441616
external,0.000360113053559826
resource,0.0003590140071457514
analyzed,0.0003586015316007821
international,0.0003581499549761644
resolution,0.0003568267940713092
schedules,0.00035622846571889345
scheduling,0.0003559991023980468
extensive,0.00035595986644043853
suite,0.00035547172257871594
analyst,0.0003535756145694557
point,0.0003535425292264887
determine,0.0003534963828516066
increased,0.00035191291857976446
quickbooks,0.00035176038638750804
closing,0.00035119090663941435
general contractor,0.0003511041953384184
liaison,0.00035071061987175024
ensuring,0.00035050963154836773
home,0.0003494651444131988
build,0.00034837328255018173
identified,0.0003482885359253472
disaster recovery,0.0003481374985160232
present,0.00034663912726277496
audit,0.00034596566903618165
degree,0.00034553489530567144
language arts,0.0003450576969100568
policies procedures,0.00034467631639066424
consultant company,0.0003446674279374973
interests,0.00034462062584409233
complete,0.0003444378618528048
engineering technician,0.0003435314164106666
improvement,0.00034331528137795963
progress,0.0003427260243881011
food quality,0.000342514247480647
school city,0.00034247122737664275
state university,0.00034240397829012384
flow,0.00034117743582333284
creating,0.000340857534867781
strength,0.00034067650540557746
complex,0.0003402415914702087
officer,0.0003400431120553402
handling,0.00033913195105274394
include,0.0003389252088639636
reviews,0.00033887046715618034
exceptional,0.0003388690380372287
subcontractor,0.00033799006935795653
supply,0.00033795503733899244
award,0.000337569053852375
reviewed,0.0003369369092383049
customer satisfaction,0.0003368220743761203
line,0.0003365564379366847
financial reports,0.0003352393216928156
transactions,0.0003346926287759012
troubleshooting,0.0003336370785892348
major,0.0003330160119941339
july,0.0003325140480630854
expert,0.0003322508167898325
changes,0.00033168181553108755
supplies,0.00033156931696194945
supervisor,0.0003313704767720925
implementing,0.0003301139621021132
state accounting,0.00032981793121241636
different,0.0003293354966505826
microsoft exchange,0.00032924155729336426
career,0.0003290331939188902
visual,0.0003289835953854074
fast,0.0003285162232339319
vendor,0.0003283224341029644
met,0.00032769200404611916
status,0.00032740306216284164
ensured,0.0003268039783181494
secret,0.00032657583113082097
trends,0.0003264883009879792
usa,0.00032577759622190726
food cost,0.0003254563475442958
basic,0.0003252481247310208
presentation,0.0003251797160190873
efficiency,0.0003246720194872188
enterprise,0.0003241809805398656
facebook,0.00032375886773721704
industrial,0.00032347959426909086
efficient,0.00032289347839783473
